artist,categories,date_added,dated,description,dimensions,height,image,location,medium,price,title,url,width
"Suzanne Huguenin,Larsen Design Studio,Weberi Escheu A.G. (WEAG),Jack Lenor Larsen, Inc.",insunsh,2010-11-17,1971,Plain weave heavy weft yarn. Deep blue. Adriatic Blue,overall (Untrimmed): 51 x 11 3/4 in. (129.54 x 29.85 cm),29.85,http://pstrial-2019-12-16.toscrape.com/content/23885.jpg,Not on View,"40% wool, 35% cotton, 25% rayon",157.08,Tyrol,http://pstrial-2019-12-16.toscrape.com/item/23885/Tyrol?back=155,129.54
"Jack Larsen,Jack Lenor Larsen, Inc.",insunsh,2012-09-23,1982-1987,"Raised tapestry weave with waves topped by three circles.  Vert. rpt. 17.5""; horiz. 12.5"". Shades of rose & green. Rose Stone",overall: 36 x 51 in. (91.44 x 129.54 cm),129.54,http://pstrial-2019-12-16.toscrape.com/content/23747.jpg,Not on View,Cotton,681.85,Sultana,http://pstrial-2019-12-16.toscrape.com/item/23747/Sultana?back=155,91.44
"Larsen Design Studio,Jack Lenor Larsen, Inc.",insunsh,2014-02-04,1985-1986,"Wool & cotton on all wool face.  Various widths vert. stripes. Horiz. rpt. 12.5"". All wool face.  Horiz. Rpt. 12-1/2"". Weft-faced vert stripes in rust, purple, blue-green, cranberry. No vert. Rpt. Night Fall",overall: 38 x 49 in. (96.52 x 124.46 cm),124.46,http://pstrial-2019-12-16.toscrape.com/content/23659.jpg,Not on View,Wool/cotton,688.66,Sweet water,http://pstrial-2019-12-16.toscrape.com/item/23659/Sweet_water?back=155,96.52
"Larsen Design Studio,Jack Lenor Larsen, Inc.",insunsh,2013-05-26,1990,"HEAVY DAMASK-TYPE WEAVE WITH LARGE TREE & LEAF PATTERN.  Vert. Rpt. 23.4""; Horiz. Rpt. 13.75"" White Snowflower",overall (Untrimmed): 28 1/2 x 56 1/2 in. (72.39 x 143.51 cm),143.51,http://pstrial-2019-12-16.toscrape.com/content/23655.jpg,Not on View,Cotton,182.36,Brighton,http://pstrial-2019-12-16.toscrape.com/item/23655/Brighton?back=155,72.39
"Larsen Design Studio,Bancroft, Arnold,Jack Lenor Larsen, Inc.",insunsh,2010-03-04,1965-1970,"Alternating 4 & 8 sided mosaic-type design in diagonal pattern. Green, blue (green/blue)",overall (Untrimmed): 18 1/4 x 28 in. (46.36 x 71.12 cm),71.12,http://pstrial-2019-12-16.toscrape.com/content/23521.jpg,Not on View,Cotton; dyed,240.82,Sebastian,http://pstrial-2019-12-16.toscrape.com/item/23521/Sebastian?back=155,46.36
"Larsen Design Studio,The Thai Silk Co. Ltd.,Jack Lenor Larsen, Inc.",insunsh,2014-06-03,1987-1989,Plain handwoven heavy silk with metallic weft. Very lt. grey & metallic. Platninum,overall: 11 1/4 x 40 1/2 in. (28.58 x 102.87 cm),102.87,http://pstrial-2019-12-16.toscrape.com/content/23262.jpg,Not on View,"Silk, metallic",435.26,Shan Luxe,http://pstrial-2019-12-16.toscrape.com/item/23262/Shan_Luxe?back=155,28.58
"Larsen Design Studio,Jack Lenor Larsen, Inc.",insunsh,2013-11-17,1987,Handspun & handwoven plain weave. White Frost,overall (Untrimmed): 9 1/4 x 49 in. (23.5 x 124.46 cm),124.46,http://pstrial-2019-12-16.toscrape.com/content/23231.jpg,Not on View,"50%silk, 50%wool",146.32,Thailana,http://pstrial-2019-12-16.toscrape.com/item/23231/Thailana?back=155,23.5
Ward Muir,insunsh,2015-04-30,19th-20th century,,2 9/16 x 3 7/16 in. (6.51 x 8.73 cm) (image),8.73,http://pstrial-2019-12-16.toscrape.com/content/25127.jpg,Not on View,Halftone,736.78,Untitled,http://pstrial-2019-12-16.toscrape.com/item/25127/Untitled?back=155,6.51
George H. Seeley,insunsh,2015-03-14,20th century,,4 11/16 x 6 in. (11.91 x 15.24 cm) (image),15.24,http://pstrial-2019-12-16.toscrape.com/content/25091.jpg,Not on View,Photogravure,804.35,No Title,http://pstrial-2019-12-16.toscrape.com/item/25091/No_Title?back=155,11.91
,insunsh,2013-06-17,1897-1899,see object file for complete description of contents,16 3/4 x 12 5/8 in. (42.55 x 32.07 cm) (portfolio),32.07,http://pstrial-2019-12-16.toscrape.com/content/25055.jpg,Not on View,Color lithograph or photolithograph,216.32,,http://pstrial-2019-12-16.toscrape.com/item/25055/Untitled?back=155,42.55
